symbol,total_candles,avg_volume,avg_volume_usd,volatility,max_change,min_change,price_range,start_price,end_price,total_volume,total_volume_usd
BTCUSDT,168,8054.420107142857,551857127.0421178,0.5750905260932118,1.55,-1.91,7219.0,67935.1,69593.4,1353142.578,92711997343.0758
BCHUSDT,168,13134.562357142855,6931896.2376107145,0.7149438314052667,2.26,-2.1,80.05000000000007,517.87,566.34,2206606.476,1164558567.9186
ETHUSDT,168,240331.45686309523,486055798.5472388,0.7300227110731794,2.2,-2.15,258.23,2017.52,2073.5,40375684.753,81657374155.93613
TRXUSDT,168,7257828.005952381,2016402.634937262,0.19910363718541643,0.46,-0.61,0.009460000000000024,0.2744,0.28242,1219315105.0,338755642.66946
XRPUSDT,168,34129134.270238094,47941983.22182463,0.7350022525371426,2.49,-1.65,0.12749999999999995,1.3915,1.4463,5733694557.4,8054253181.266539
LTCUSDT,168,71619.48963690476,3849451.508080595,0.6313277086020402,1.67,-2.1,5.0,53.19,55.38,12032074.259,646707853.35754
XLMUSDT,168,10354457.80357143,1649113.6423714284,0.7276476952327484,2.13,-2.68,0.02009999999999998,0.15639,0.16972,1739548911.0,277051091.9184
ETCUSDT,168,139139.8730952381,1169945.8156282739,0.6513591737036869,1.93,-1.76,0.9620000000000006,8.555,8.694,23375498.68,196550897.02555
LINKUSDT,168,681848.3360714285,5869171.719721905,0.7113156843845353,2.01,-1.71,0.9250000000000007,8.65,8.932,114550520.46,986020848.91328
DASHUSDT,168,61391.84144642856,2211008.0494386908,1.1483036033759062,4.21,-3.41,8.310000000000002,35.37,38.87,10313829.362999998,371449352.30570006
XMRUSDT,168,6145.359309523809,2067600.40147869,1.0425482588208304,2.87,-3.07,55.20999999999998,325.32,356.02,1032420.364,347356867.4484199
ADAUSDT,168,25931787.19047619,6894787.218430953,0.6930008732272264,1.84,-1.58,0.029500000000000026,0.267,0.2785,4356540248.0,1158324252.6964002
XTZUSDT,168,647077.2285714286,262538.5710130953,0.7344781612652174,2.45,-1.93,0.044999999999999984,0.409,0.413,108708974.4,44106479.93020001
ZECUSDT,168,69240.52447023809,16835114.653094284,1.3274714456897958,5.8,-4.01,69.5,227.22,281.71,11632408.111,2828299261.71984
BNBUSDT,168,32864.220773809524,20392563.915992264,0.5893749830856387,1.61,-1.48,68.5,635.74,627.13,5521189.09,3425950737.8867
ONTUSDT,168,1707622.0267857143,77491.7222985119,0.6864290320798804,1.96,-1.78,0.0058,0.046,0.0474,286880500.5,13018609.34615
IOTAUSDT,168,2912984.8898809524,198361.03987208332,0.7176396436320577,2.15,-1.85,0.009499999999999995,0.0705,0.0696,489381461.5,33324654.69851
ATOMUSDT,168,462808.9457142858,911304.5486166073,0.7008722721228344,2.95,-1.68,0.2689999999999997,1.933,2.13,77751902.88000001,153099164.16759002
BATUSDT,168,1855265.0529761903,239328.82560005953,1.053670110354391,3.8,-2.52,0.019600000000000006,0.119,0.1334,311684528.9,40207242.70081
VETUSDT,168,44722236.89285714,352696.5900285655,0.7536162391048913,2.39,-2.17,0.0010190000000000008,0.00792,0.008348,7513335798.0,59253027.124799
QTUMUSDT,168,91088.69047619047,85140.92060535715,0.6966193468457302,2.19,-1.82,0.1449999999999999,0.916,1.009,15302900.0,14303674.661700001
IOSTUSDT,168,32364439.041666668,39925.09449080952,0.642854741306543,1.87,-1.54,0.00013199999999999996,0.001234,0.001303,5437225759.0,6707415.874456
NEOUSDT,168,61832.54976190476,168249.00260785714,0.6808069295167429,1.6,-2.09,0.3490000000000002,2.761,2.877,10387868.36,28265832.43812
THETAUSDT,168,968801.2190476191,199216.4428882738,0.8047261664830629,3.61,-2.05,0.02729999999999999,0.2023,0.2177,162758604.8,33468362.40523
ZILUSDT,168,446972352.63095236,2007792.3751488097,2.050826896872399,22.44,-3.89,0.00222,0.00419,0.00451,75091355242.0,337309119.02500004
ALGOUSDT,168,6764484.328571429,634084.182927738,0.7245144879350792,2.31,-2.04,0.01200000000000001,0.0953,0.0972,1136433367.2,106526142.73185998
KNCUSDT,168,442131.54761904763,65817.95705892857,0.6362454360690802,1.96,-2.34,0.015699999999999992,0.1537,0.1506,74278100.0,11057416.7859
ZRXUSDT,168,1413908.1285714286,151178.77752113095,0.8669120312449863,3.75,-2.65,0.015399999999999997,0.1033,0.1131,237536565.6,25398034.623549998
COMPUSDT,168,64082.19747619048,1255030.0922642855,1.5190278721946264,13.81,-3.33,7.140000000000001,16.97,19.8,10765809.176,210845055.50039998
DOGEUSDT,168,182380700.14285713,17195393.531428214,0.6642444161793419,1.85,-1.96,0.0116,0.09541,0.09789,30639957624.0,2888826113.27994
KAVAUSDT,168,1814190.1339285714,99939.53977732144,0.7603836071146157,2.66,-2.06,0.007599999999999996,0.0564,0.0572,304783942.5,16789842.68259
BANDUSDT,168,270777.71785714285,66411.8786264881,0.8882478415243271,4.26,-1.99,0.033800000000000024,0.2406,0.2499,45490656.6,11157195.609250002
DOTUSDT,168,1909967.2369047615,2495162.771395833,0.6875038196228498,1.86,-1.84,0.17799999999999994,1.329,1.36,320874495.79999995,419187345.5945
SNXUSDT,168,1508390.713690476,433222.3473928571,0.8562143055235508,3.42,-1.75,0.03999999999999998,0.293,0.3,253409639.89999998,72781354.36199999
RLCUSDT,168,93660.4648809524,41440.060958333335,0.706779764455236,2.4,-1.99,0.05359999999999998,0.4541,0.4524,15734958.100000001,6961930.241
TRBUSDT,168,21887.354166666668,318448.18621904764,0.8019788311564338,2.97,-1.96,2.4079999999999995,14.512,15.622,3677075.5,53499295.2848
CRVUSDT,168,7746970.362500001,1894291.2921113095,0.9411650013348708,3.16,-3.36,0.04000000000000001,0.252,0.251,1301491020.9,318240937.0747
YFIUSDT,168,45.73530952380952,137895.9718809524,0.7769499783710595,2.15,-3.0,297.0,2887.0,2860.0,7683.531999999999,23166523.276
RUNEUSDT,168,528304.9404761905,212959.7228,0.6414149527209316,2.3,-1.54,0.048099999999999976,0.408,0.4188,88755230.0,35777233.4304
SUSHIUSDT,168,1063264.1488095238,216337.10548571427,0.8279259405214388,2.8,-2.27,0.0262,0.2038,0.2126,178628377.0,36344633.721599996
EGLDUSDT,168,63081.31726190477,298174.07767380954,0.9611099941591184,4.32,-3.64,0.9870000000000001,4.428,5.144,10597661.3,50093245.049200006
ICXUSDT,168,6683669.345238095,277103.85383273807,1.2840489896467915,12.31,-4.4,0.010300000000000004,0.04,0.0412,1122856450.0,46553447.4439
SOLUSDT,168,1114214.23625,92993581.58138274,0.7865889006716426,2.28,-2.33,12.61,84.85,85.82,187187991.69,15622921705.6723
STORJUSDT,168,1297552.0833333333,134045.0727613095,0.845240309318096,1.89,-5.52,0.021400000000000002,0.1062,0.1047,217988750.0,22519572.223899998
UNIUSDT,168,1808440.869047619,6529188.32932738,1.6772259573147874,16.87,-4.47,1.451,3.46,3.458,303818066.0,1096903639.327
AVAXUSDT,168,619520.2857142857,5529347.254559524,0.6603435954867516,2.02,-1.51,0.9550000000000001,8.98,9.229,104079408.0,928930338.766
KSMUSDT,168,75513.48095238095,330184.71695119044,0.8015801310188859,2.4,-2.14,0.5860000000000003,4.423,4.657,12686264.8,55471032.447799996
NEARUSDT,168,2703685.851190476,2724424.3628869047,0.8439937916760974,2.87,-2.92,0.17100000000000004,1.044,1.04,454219223.0,457703292.96500003
ENJUSDT,168,4038434.220238095,89713.95204660713,0.8990067944261012,2.56,-4.74,0.003429999999999999,0.02232,0.02199,678456949.0,15071943.943829998
AAVEUSDT,168,30903.29761904762,3460157.5741011905,0.8727184029757254,2.39,-1.89,23.209999999999994,110.93,126.24,5191754.0,581306472.449
FILUSDT,168,4283992.240476191,3954684.1726363096,0.8255284920170968,2.82,-2.37,0.14800000000000002,0.956,0.964,719710696.4000001,664386941.0029
RSRUSDT,168,57547135.72619048,91554.980769625,0.7830178375932214,2.08,-2.2,0.000245,0.001633,0.001633,9667918802.0,15381236.769297
BELUSDT,168,395049.8214285714,39362.55281190477,0.6643486334647096,1.87,-1.89,0.010499999999999995,0.1016,0.1017,66368370.0,6612908.872400001
AXSUSDT,168,4696325.863095238,6842921.144773809,1.7060133126293442,8.73,-4.06,0.3400000000000001,1.302,1.459,788982745.0,1149610752.322
LRCUSDT,168,6190334.821428572,218878.87606886908,1.1365430090435469,3.74,-9.6,0.008480000000000001,0.03853,0.03356,1039976250.0,36771651.179570004
ZENUSDT,168,122558.12738095237,735752.046322619,0.909129996761883,3.59,-2.56,1.1139999999999999,5.899,6.513,20589765.4,123606343.7822
SKLUSDT,168,29904648.029761903,207017.06738291663,1.6220240752832256,11.06,-6.2,0.00181,0.00671,0.00717,5023980869.0,34778867.320329994
GRTUSDT,168,9192840.517857144,248522.26094904763,0.7063855530905594,2.44,-1.62,0.0034999999999999996,0.02742,0.02802,1544397207.0,41751739.83944
1INCHUSDT,168,2408141.8273809524,232901.16604107138,0.7396301042051212,2.28,-1.82,0.0097,0.0966,0.098,404567827.0,39127395.894899994
CHZUSDT,168,17979679.76785714,731167.2885745832,0.8060519036461254,2.92,-2.96,0.006399999999999996,0.0411,0.04278,3020586201.0,122836104.48053
RVNUSDT,168,13739023.583333334,80267.26897464287,0.7065356227792476,2.26,-1.87,0.0008000000000000004,0.00577,0.00622,2308155962.0,13484901.187740002
SANDUSDT,168,11022657.916666666,954685.5979592261,0.9156074063611568,3.73,-2.39,0.014670000000000002,0.08603,0.0887,1851806530.0,160387180.45714998
ANKRUSDT,168,21649991.095238097,98996.92764233334,0.776425074340733,4.01,-1.81,0.0006659999999999999,0.004615,0.004694,3637198504.0,16631483.843912
CHRUSDT,168,1942152.4464285714,52790.54101130953,0.7307579308841217,1.88,-2.6,0.002999999999999999,0.0275,0.027,326281611.0,8868810.8899
SFPUSDT,168,142966.44642857142,37264.23948035714,0.68784854036722,2.07,-2.05,0.03290000000000001,0.2711,0.2542,24018363.0,6260392.2327
COTIUSDT,168,4966340.773809524,59377.80845029762,0.8343052081544131,3.02,-2.13,0.0016100000000000003,0.01237,0.01243,834345250.0,9975471.81965
ALICEUSDT,168,1433614.1523809526,165049.22254166668,0.9736032452472485,3.36,-2.63,0.019000000000000003,0.119,0.113,240847177.60000002,27728269.387000002
HBARUSDT,168,22633171.529761903,2104525.5548999407,1.0144001933913647,4.95,-2.79,0.020890000000000006,0.08694,0.10229,3802372817.0,353560293.22319
MANAUSDT,168,3126740.130952381,315959.0612345238,0.7842015676213757,3.11,-2.15,0.014899999999999997,0.0999,0.1033,525292342.0,53081122.28739999
CELRUSDT,168,19667866.17261905,49649.843775059526,0.7418123273053069,2.02,-2.31,0.00033,0.00247,0.00267,3304201517.0,8341173.75421
ONEUSDT,168,31547287.68452381,78943.81058845238,0.8559765482504957,2.72,-2.06,0.00035000000000000005,0.00257,0.0026,5299944331.0,13262560.178860001
DENTUSDT,168,295201900.88095236,43007.45048163095,0.790068774460509,3.42,-2.07,1.8000000000000004e-05,0.000146,0.000149,49593919348.0,7225251.680914
OGNUSDT,168,2582092.886904762,55904.28564940476,0.786778133761381,1.9,-1.89,0.002599999999999998,0.0221,0.0228,433791605.0,9391919.9891
MTLUSDT,168,187007.16666666666,52428.04597916666,0.7573967070728534,2.64,-2.44,0.041600000000000026,0.2773,0.2917,31417204.0,8807911.724499999
HOTUSDT,168,134624826.82142857,51900.010602964285,0.7170330800169602,1.58,-3.12,5.099999999999999e-05,0.000396,0.000384,22616970906.0,8719201.781298
BTCDOMUSDT,168,34.46820833333334,177247.83979047622,0.28021483850277656,0.9,-0.82,212.70000000000073,5088.7,5084.9,5790.659000000001,29777637.084800005
GTCUSDT,168,526107.5750000001,51608.817542857134,0.9302336488385178,2.11,-2.11,0.011999999999999997,0.096,0.104,88386072.60000001,8670281.347199999
1000SHIBUSDT,168,306834255.4702381,1870873.7376752142,0.7042559705504017,2.63,-1.96,0.0007129999999999992,0.006045,0.00644,51548154919.0,314306787.92943597
IOTXUSDT,168,9058815.19047619,51201.60542767857,0.7858036243503853,2.69,-1.84,0.0008799999999999997,0.00593,0.00553,1521880952.0,8601869.71185
C98USDT,168,23445055.083333332,675530.6104857143,1.5701917340093163,5.86,-2.97,0.009599999999999997,0.0272,0.0328,3938769254.0,113489142.5616
DYDXUSDT,168,4860358.111904762,507226.1948875001,0.9387073785951763,3.13,-3.03,0.021000000000000005,0.11,0.108,816540162.8,85214000.74110001
MASKUSDT,168,307799.73214285716,139979.31296428572,0.7502732678668621,2.24,-2.36,0.06169999999999998,0.4641,0.4705,51710355.0,23516524.578
ATAUSDT,168,3564568.029761905,44427.84840833333,0.8499019215795043,2.4,-2.48,0.0017000000000000001,0.0125,0.0131,598847429.0,7463878.5326
1000XECUSDT,168,11658987.226190476,93989.61312363094,0.8692938816781843,4.84,-3.79,0.001230000000000001,0.00795,0.0085,1958709854.0,15790255.00477
CELOUSDT,168,1077403.3803571428,88901.90695654761,1.1891577663740125,3.75,-2.5,0.010999999999999996,0.08,0.088,181003767.89999998,14935520.3687
GALAUSDT,168,253244680.9702381,1022702.4166215478,0.7058286298724694,2.66,-1.68,0.0005599999999999997,0.00414,0.00418,42545106403.0,171814005.99242002
ARUSDT,168,202376.73571428572,385382.0438494048,0.9737948672803162,3.54,-2.22,0.3780000000000001,2.012,2.061,33999291.6,64744183.3667
CTSIUSDT,168,1211503.2738095238,32051.9036672619,0.6334064760489664,1.85,-1.85,0.0026000000000000016,0.0272,0.0273,203532550.0,5384719.8160999995
ARPAUSDT,168,14027865.714285715,140165.1065057143,0.6951659406634177,1.9,-2.42,0.0008599999999999997,0.00993,0.0102,2356681440.0,23547737.89296
ENSUSDT,168,83515.59285714285,512077.6694375,1.1557255037322611,8.14,-2.18,1.7670000000000003,5.906,6.951,14030619.6,86029048.4655
PEOPLEUSDT,168,24730359.92857143,162155.15580226187,0.7244039441361507,2.84,-1.79,0.0009699999999999995,0.00671,0.00687,4154700468.0,27242066.174779996
LPTUSDT,168,242661.45714285714,602569.1810119047,1.2749892217908825,12.07,-5.62,0.41500000000000004,2.378,2.466,40767124.8,101231622.41
ROSEUSDT,168,73473164.84523809,973072.3160929761,1.467797172415137,8.14,-3.76,0.002960000000000001,0.01335,0.01271,12343491694.0,163476149.10362
DUSKUSDT,168,44473989.71428572,4953329.284959108,2.6130138372769802,18.86,-8.17,0.057789999999999994,0.08298,0.10979,7471630272.0,832159319.8731301
FLOWUSDT,168,14531538.420833332,684184.9563317911,1.231574135121147,5.54,-7.37,0.014600000000000002,0.04805,0.04408,2441298454.7,114943072.6637409
API3USDT,168,2065332.030952381,688388.1981835713,1.228070507491953,5.73,-5.59,0.0681,0.352,0.3204,346975781.2,115649217.29484
GMTUSDT,168,14406771.75,177565.28228160716,0.7926138728895716,2.82,-2.32,0.0019299999999999994,0.0123,0.01284,2420337654.0,29830967.42331
IMXUSDT,168,1041644.8928571428,165322.93640714284,0.8883014981474835,2.84,-2.19,0.023900000000000005,0.1594,0.1684,174996342.0,27774253.3164
WOOUSDT,168,5345773.583333333,90448.11095625,0.8323644074823573,3.33,-1.68,0.0025699999999999994,0.01728,0.01774,898089962.0,15195282.64065
APEUSDT,168,1996474.738095238,253666.04137261905,0.7921516126093329,3.43,-1.99,0.01609999999999999,0.1285,0.1309,335407756.0,42615894.9506
INJUSDT,168,245691.15059523808,766101.3102660715,0.774561328980758,2.71,-2.14,0.43199999999999994,3.171,3.176,41276113.3,128705020.12470001
JASMYUSDT,168,73146187.25595239,417661.9709383571,0.9511454963379041,3.47,-2.85,0.001079,0.005523,0.006173,12288559459.0,70167211.117644
OPUSDT,168,7418327.5625,1384692.890407143,0.8547109593693961,3.26,-2.8,0.029799999999999993,0.1903,0.1924,1246279030.5,232628405.5884
STGUSDT,168,11412156.232142856,2110927.3440589285,2.3202833691234956,12.48,-8.0,0.0859,0.1398,0.1608,1917242247.0,354635793.8019
1000LUNCUSDT,168,5438511.255952381,186685.44763833334,0.6316730334712045,1.53,-1.77,0.004019999999999996,0.03531,0.03372,913669891.0,31363155.20324
SPELLUSDT,168,179120288.85119048,33745.17892491251,0.5895292249028392,1.63,-1.49,1.930000000000001e-05,0.00019,0.0001913,30092208527.0,5669190.059385301
ICPUSDT,168,525872.2261904762,1259673.603952381,0.8649742418833964,2.45,-2.76,0.2589999999999999,2.412,2.42,88346534.0,211625165.46400002
LUNA2USDT,168,2216308.339285714,135779.20387541666,0.7330486371252712,2.22,-2.19,0.006660000000000006,0.06219,0.06329,372339801.0,22810906.25107
LDOUSDT,168,1807541.232142857,622951.0165892857,0.8409969286782166,2.8,-2.32,0.051100000000000034,0.3495,0.3519,303666927.0,104655770.787
APTUSDT,168,1589026.8970238096,1569348.3794844048,0.8544513594983058,2.48,-2.23,0.25729999999999986,1.0861,0.9588,266956518.70000002,263650527.75338
QNTUSDT,168,3964.967857142857,269635.24153571425,1.0110241499415538,4.4,-2.43,12.669999999999995,63.03,72.51,666114.6,45298720.577999994
FETUSDT,168,4995305.154761905,802454.2510982143,0.8069890366334909,2.47,-2.18,0.0232,0.1619,0.1704,839211266.0,134812314.1845
MAGICUSDT,168,5408375.4428571435,380583.2329572619,1.5503483424351316,14.68,-3.73,0.013200000000000003,0.0643,0.07013,908607074.4000001,63937983.136819996
HOOKUSDT,168,1258103.451190476,32962.69241040476,0.7292168205489659,2.93,-2.11,0.0037400000000000003,0.02667,0.0269,211361379.79999998,5537732.324948
TUSDT,168,11869928.0,84458.67042660715,0.7302125868629742,2.33,-2.95,0.0009849999999999998,0.00687,0.0076,1994147904.0,14189056.63167
HIGHUSDT,168,341902.66369047615,51428.945939226185,0.8221479722535242,2.25,-2.7,0.028600000000000014,0.1471,0.159,57439647.49999999,8640062.91779
MINAUSDT,168,4402939.75,290811.3274036905,0.9075812869463372,3.3,-2.02,0.008600000000000003,0.065,0.06807,739693878.0,48856303.00382
ASTRUSDT,168,9789839.029761905,75219.55766070237,0.8568178989088082,2.89,-3.02,0.0011610000000000006,0.007578,0.008117,1644692957.0,12636885.686997999
PHBUSDT,168,199454.49404761905,32001.2869375,0.7597821619131687,2.74,-1.96,0.020199999999999996,0.1637,0.1691,33508355.0,5376216.2055
GMXUSDT,168,8879.16869047619,54576.43461404762,0.7679141957305922,2.19,-2.12,0.7670000000000003,6.059,6.373,1491700.3399999999,9168841.01516
CFXUSDT,168,6737293.357142857,329568.86389482144,0.9892570489207867,4.49,-2.75,0.012500000000000004,0.0488,0.05542,1131865284.0,55367569.134330004
ACHUSDT,168,30048628.55357143,229366.7902215893,0.8824175820641912,2.77,-2.78,0.0011020000000000005,0.00724,0.007927,5048169597.0,38533620.757227
STXUSDT,168,1545674.386904762,409697.72163392854,0.854935600470808,2.56,-2.35,0.044499999999999984,0.2653,0.2706,259673297.0,68829217.23449999
SSVUSDT,168,35479.263452380954,110235.31782732141,1.0269571004111968,3.05,-4.64,0.52,3.283,3.265,5960516.26,18519533.394989997
TRUUSDT,168,8570547.452380951,55118.49547214882,0.723071989260983,2.9,-1.7,0.0008500000000000001,0.00656,0.006636,1439851972.0,9259907.239321
CKBUSDT,168,35784329.41071428,59422.14400127976,0.7772551536350822,2.06,-3.08,0.00020899999999999998,0.001702,0.001719,6011767341.0,9982920.192215
LQTYUSDT,168,752207.5190476191,231258.223596131,1.6190673095361625,4.74,-12.49,0.1109,0.3438,0.2758,126370863.2,38851381.564150006
USDCUSDT,168,118647.67261904762,118655.23971063097,0.006611279040422355,0.04,-0.02,0.0005879999999999219,1.000003,0.999987,19932809.0,19934080.271386
IDUSDT,168,2140200.2916666665,109624.3923214881,0.7919023788783722,2.28,-2.42,0.008199999999999999,0.05142,0.05474,359553649.0,18416897.910010003
JOEUSDT,168,913765.125,35266.92461321429,0.9464717245677919,5.98,-4.79,0.007859999999999999,0.03943,0.03984,153512541.0,5924843.33502
ARBUSDT,168,19576846.71547619,2209746.0180043452,0.8101494205945983,2.74,-2.11,0.020799999999999985,0.1168,0.1173,3288910248.2,371237331.02472997
TLMUSDT,168,25062055.714285713,42548.914849577384,0.6760256994851706,1.83,-1.81,0.00017200000000000006,0.001706,0.001768,4210425360.0,7148217.694729
XVSUSDT,168,40764.10833333333,117778.05196607142,1.0261415433875916,3.05,-4.21,1.0070000000000001,3.246,2.969,6848370.199999999,19786712.730299998
HFTUSDT,168,3081789.0178571427,57000.03377470239,0.7742344563771933,1.83,-2.21,0.002199999999999997,0.01806,0.01884,517740555.0,9576005.674150001
RDNTUSDT,168,8329874.398809524,49120.233064083324,0.7017162044544467,1.76,-2.25,0.0009300000000000003,0.00624,0.006102,1399418899.0,8252199.154765999
